size time0 error0 time1 error1 time2 error2
80000 6.6776978969573975 230543.36007545193 6.726410865783691 240534.82089405553 6.5703558921813965 233058.67348360375
160000 6.931034088134766 456587.15676530823 7.044690132141113 451989.27360509295 6.836528062820435 450482.6341798194
240000 7.5411248207092285 786142.944929208 7.182843923568726 715782.0486041079 7.207546949386597 684527.0947932296
320000 7.421666860580444 867663.780688789 7.3074870109558105 905184.0908290546 7.329570055007935 879550.9978409742
400000 7.410001039505005 1178861.9540009073 7.620306968688965 1161799.3146822995 7.599877119064331 1058951.1242000775
480000 7.756086111068726 1269787.05140162 7.7316038608551025 1416694.8019102027 7.676278114318848 1242214.115531512
560000 7.872537851333618 1593854.5217273834 7.854855060577393 1492420.4020408522 7.895622968673706 1478514.8511613328
640000 7.966736078262329 1967772.0921736863 7.769702911376953 1779241.1455905926 8.172483205795288 1685394.512949159
720000 8.245073080062866 1889649.106213151 8.079968929290771 2026374.6969225814 8.151020050048828 2015248.326685443
800000 8.192186117172241 2197667.590043495 8.317509174346924 2267721.897646995 8.577002048492432 2122563.0246109525
880000 8.513076066970825 2364781.402763278 8.436614990234375 2618080.847630459 8.419164896011353 2433862.059176233
960000 9.06021785736084 2522797.771689424 8.488255023956299 2504036.7380601647 8.373822927474976 2595015.2296580304
1040000 8.523317098617554 2712240.362071199 8.552738904953003 2733173.4717454473 8.632138013839722 2742904.5403921558
1120000 8.68155288696289 2906630.110899585 8.70395302772522 2987284.4221587786 8.654075860977173 3167453.2137968615
1200000 9.202214002609253 3568837.8921981994 9.119323968887329 3144992.7150145187 9.187855958938599 3478734.129676033
1280000 8.996212005615234 3608712.441087704 8.96832799911499 3405824.751870682 8.849962949752808 3772606.238273847
1360000 9.413790941238403 4027510.943983954 9.291163206100464 4039570.7721719663 9.243046045303345 3701252.413193506
1440000 9.452817916870117 3906486.070479022 9.488044023513794 3899434.8671614686 9.295435905456543 3973723.5705565023
1520000 9.26724910736084 5072671.838689781 9.773877143859863 4172707.9576898483 9.49967098236084 4006088.5873985845
1600000 9.526027917861938 4161540.3379136017 9.73258900642395 4296435.75131791 9.797627925872803 4336347.970500913
1680000 10.233123064041138 4977734.000736839 9.597285032272339 4450549.033657078 9.870614051818848 4533774.490010641
1760000 10.499198913574219 4891586.541919699 10.10142183303833 5194364.153021456 10.004201889038086 4737272.902762582
1840000 10.906660079956055 5133771.721952219 11.405905961990356 4900847.272081392 11.263650894165039 4932699.506352085
1920000 11.180624961853027 5248181.872204576 11.071453094482422 5469883.897978468 10.948652982711792 5093691.753611215
2000000 11.864906072616577 5925628.504639609 10.792702198028564 5289875.706380828 11.016295909881592 5333030.31544580
